pv01,n,w_sum,share_n,share_w
1,988,1026.5069717420758,0.18833396873808617,0.19567422259665956
2,781,791.0344153025666,0.14887533358749525,0.15078810814002416
4,752,813.8655364015762,0.14334731223789554,0.15514020899763178
-8,603,593.1310736069579,0.114944719786504,0.11306349096587076
42,480,405.4496219563705,0.09149828440716737,0.0772873850469635
3,325,347.616374635568,0.06195196340068624,0.06626312898123676
-7,306,302.22714359954915,0.0583301563095692,0.05761096904299451
6,260,200.88208396348236,0.04956157072054899,0.03829242927248997
91,236,231.93554766004507,0.04498665650019062,0.044211884799856105
-50,186,203.77331747461065,0.035455585207777356,0.03884356032684153
90,162,159.4476207065353,0.030880670987418986,0.030394132807193164
-9,149,153.07230514367208,0.028402592451391536,0.02917886106436754
-42,18,17.05798780699058,0.003431185665268776,0.00325161795787087
